chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,target
0.34756756,2512.168260531504,3120.573129405829,5176.641845703125,0.11647314,0.05287339952256945,not_ok
0.31676486,3561.206480062282,2820.466979826107,6339.404976616879,0.053592738,0.10708313696345707,not_ok
0.4628126,2700.454645880409,2883.268646689538,5033.024013014791,0.06495206,0.06199472520301624,not_ok
0.27514204,3733.2273689950416,3021.259338615684,6758.078392365139,0.07098064,0.10514700551044083,not_ok
0.410805,3918.0417397962506,3627.9249515766082,8340.294192285382,0.054605696,0.11049204248839907,not_ok
0.5442202,3540.149141334408,3636.309165233316,7567.04735988254,0.032812983,0.08724147150522042,not_ok
0.23873354,2435.598310407917,3001.8101035921727,4126.59912109375,0.05208419,0.06666282371238426,not_ok
0.18931592,2284.5768420219124,1850.8741086451594,4109.6018473307295,0.046978235,0.06398631908275464,not_ok
0.17582276,2117.9939063044267,1589.0188043566968,3706.8085212441997,0.022011759,0.06753688732598608,not_ok
0.35825127,4079.600710433633,3231.5277862821104,7273.4375,0.054751616,0.16050211588541666,not_ok
0.5166756,3594.7672033283875,3785.955336024728,7620.405737927784,0.057736583,0.07215460049303944,not_ok
0.33062273,3678.9823044894015,3660.4109967575596,7720.577599332946,0.097117625,0.08077712623259861,not_ok
0.34533197,3103.0983275102135,3278.314812815737,6298.736699717228,0.059713528,0.06212387616009281,not_ok
0.36422712,3055.285337425726,2779.6547663252954,6071.663826856148,0.054166596,0.0961755456061485,not_ok
0.34808004,2607.6542439489604,2618.219378790264,5291.522372571056,0.080884635,0.07158814892691415,not_ok
0.31040016,2682.4711617264597,2622.580193257562,5332.740220780162,0.06426176,0.07446798868909513,not_ok
0.3280484,3725.238412159679,3128.7724585846418,6634.674652878481,0.14124672,0.09558417017111369,not_ok
0.19346398,1497.8667071747427,1853.3204960742157,3026.6390842517403,0.059695862,0.029113344692575406,not_ok
0.32018736,3768.6268366356703,3388.9483531810574,7281.620006162993,0.08184742,0.0924709523636891,not_ok
0.28185284,3231.666799342354,3133.541506259855,6274.205834904293,0.057055335,0.07810460774361949,not_ok
0.27249867,2763.7414577656887,3157.360455976548,5696.606388667344,0.06288431,0.05876821708236659,not_ok
0.27864948,2902.5438640737457,3007.981146993148,5564.359547201276,0.08489969,0.0731549539588167,not_ok
0.23434635,2735.8974378956623,3121.2338861338144,5361.567734012471,0.12768628,0.055105541255800465,not_ok
0.27852196,3516.4528497630918,3170.6077218075106,6699.174340197216,0.078793004,0.09426886963457076,not_ok
0.3678076,2530.0381292166803,3198.485416616937,5623.263599369199,0.050929192,0.04555856656032482,not_ok
0.3678076,2530.0381292166803,3198.485416616937,5623.263599369199,0.050929192,0.04555856656032482,not_ok
0.3060962,3646.637759402809,3026.8044804212163,6745.9299247955605,0.14095496,0.1088216906396028,not_ok
0.27091792,3608.4943245027425,2896.8534411893775,6187.273645954177,0.19012721,0.1083871084686775,not_ok
0.27091792,3608.4943245027425,2896.8534411893775,6187.273645954177,0.19012721,0.1083871084686775,not_ok
0.37524185,3773.0887604092063,3814.7636891081493,8118.816954575116,0.04488404,0.07362057714617169,not_ok
0.25011224,2015.711001788636,2261.754334873422,3999.7300291835845,0.04703877,0.043530669953596286,not_ok
0.2798108,2316.320408912548,2498.250344743399,4631.337346831497,0.08044272,0.052950759498259864,not_ok
0.47678295,4353.150729999699,3776.9173811800392,8643.008061738688,0.045858044,0.1301785002175174,not_ok
0.36470124,5981.96114017055,4387.191520824173,11208.107168104698,0.0349276,0.18337623259860789,not_ok
0.31676486,3561.206480062282,2820.466979826107,6339.404976616879,0.053592738,0.10708313696345707,not_ok
0.3184116,3255.5847770524997,2805.1152302888795,6117.178323484629,0.07872314,0.09936126921403712,not_ok
0.27137813,2935.539100622551,2704.27790545949,5299.865864269142,0.1620744,0.08020727595707657,not_ok
0.27271116,2726.033597986554,2527.532190459119,5075.041237674014,0.10637245,0.08280502283932714,not_ok
0.2660895,3360.9375944569506,2632.008069559917,5881.662036869199,0.138978,0.10776174593967518,not_ok
0.21411657,2715.8864145569196,2532.962356282128,4932.6523074971,0.122747794,0.0679583272911833,not_ok
0.5166756,3594.7672033283875,3785.955336024728,7620.405737927784,0.057736583,0.07215460049303944,not_ok
0.33062273,3678.9823044894015,3660.4109967575596,7720.577599332946,0.097117625,0.08077712623259861,not_ok
0.34533197,3103.0983275102135,3278.314812815737,6298.736699717228,0.059713528,0.06212387616009281,not_ok
0.36422712,3055.285337425726,2779.6547663252954,6071.663826856148,0.054166596,0.0961755456061485,not_ok
